xflr5 v6.47

Plane name :        Plane Name
Polar name :        T2-VLM2-0.5kg-x-0.2m-z-0.0m-Inviscid

   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -1.900     0.000   0.004985   0.000001   0.000000   0.000001   0.000000   0.000000  -0.061649  -0.000000  -0.000000   78.1700     1.6948
   -1.500     0.000   0.042056  -0.000028   0.000000  -0.000028   0.000000   0.000000  -0.151797  -0.000000  -0.000000   26.9126     0.3601
   -1.400     0.000   0.051324  -0.000039   0.000000  -0.000039   0.000000   0.000000  -0.174348  -0.000000  -0.000000   24.3619     0.3277
   -1.000     0.000   0.088392  -0.000100   0.000000  -0.000100   0.000000  -0.000000  -0.264605  -0.000000  -0.000000   18.5637     0.2660
   -0.900     0.000   0.097659  -0.000120   0.000000  -0.000120   0.000000  -0.000000  -0.287180  -0.000000  -0.000000   17.6610     0.2579
   -0.500     0.000   0.134722  -0.000213   0.000000  -0.000213   0.000000  -0.000000  -0.377518  -0.000000  -0.000000   15.0366     0.2366
   -0.400     0.000   0.143987  -0.000240   0.000000  -0.000240   0.000000  -0.000000  -0.400110  -0.000000  -0.000000   14.5448     0.2330
    0.000     0.000   0.181044  -0.000366   0.000000  -0.000366   0.000000  -0.000000  -0.490501  -0.000000  -0.000000   12.9712     0.2223
    0.100     0.000   0.190307  -0.000401   0.000000  -0.000401   0.000000  -0.000000  -0.513104  -0.000000  -0.000000   12.6515     0.2203
    0.500     0.000   0.227355  -0.000559   0.000000  -0.000559   0.000000  -0.000000  -0.603521  -0.000000  -0.000000   11.5749     0.2138
    0.600     0.000   0.236615  -0.000602   0.000000  -0.000602   0.000000  -0.000000  -0.626126  -0.000000  -0.000000   11.3462     0.2125
    1.000     0.000   0.273652  -0.000792   0.000000  -0.000792   0.000000  -0.000000  -0.716543  -0.000000  -0.000000   10.5505     0.2082
    1.100     0.000   0.282910  -0.000843   0.000000  -0.000843   0.000000  -0.000000  -0.739144  -0.000000  -0.000000   10.3764     0.2073
    1.500     0.000   0.319934  -0.001065   0.000000  -0.001065   0.000000  -0.000000  -0.829531  -0.000000  -0.000000    9.7575     0.2042
    1.600     0.000   0.329188  -0.001124   0.000000  -0.001124   0.000000  -0.000000  -0.852122  -0.000000  -0.000000    9.6194     0.2035
    2.000     0.000   0.366197  -0.001377   0.000000  -0.001377   0.000000  -0.000000  -0.942453  -0.000000  -0.000000    9.1204     0.2012
    2.100     0.000   0.375447  -0.001445   0.000000  -0.001445   0.000000  -0.000000  -0.965026  -0.000000  -0.000000    9.0073     0.2007
    2.500     0.000   0.412439  -0.001730   0.000000  -0.001730   0.000000  -0.000000  -1.055273  -0.000000  -0.000000    8.5939     0.1988
    2.600     0.000   0.421685  -0.001805   0.000000  -0.001805   0.000000  -0.000000  -1.077822  -0.000000  -0.000000    8.4992     0.1984
    3.000     0.000   0.458658  -0.002121   0.000000  -0.002121   0.000000  -0.000000  -1.167957  -0.000000  -0.000000    8.1494     0.1970
    3.100     0.000   0.467899  -0.002204   0.000000  -0.002204   0.000000  -0.000000  -1.190475  -0.000000  -0.000000    8.0685     0.1966
    3.500     0.000   0.504852  -0.002552   0.000000  -0.002552   0.000000  -0.000000  -1.280471  -0.000000  -0.000000    7.7676     0.1955
    3.600     0.000   0.514087  -0.002642   0.000000  -0.002642   0.000000  -0.000000  -1.302951  -0.000000  -0.000000    7.6975     0.1952
    4.000     0.000   0.551017  -0.003021   0.000000  -0.003021   0.000000  -0.000000  -1.392781  -0.000000  -0.000000    7.4351     0.1942
    4.100     0.000   0.560246  -0.003119   0.000000  -0.003119   0.000000  -0.000000  -1.415215  -0.000000  -0.000000    7.3736     0.1940
    4.500     0.000   0.597151  -0.003529   0.000000  -0.003529   0.000000  -0.000000  -1.504852  -0.000000  -0.000000    7.1421     0.1931
    4.600     0.000   0.606374  -0.003635   0.000000  -0.003635   0.000000  -0.000000  -1.527234  -0.000000  -0.000000    7.0876     0.1929
    5.000     0.000   0.643253  -0.004074   0.000000  -0.004074   0.000000  -0.000000  -1.616650  -0.000000  -0.000000    6.8814     0.1922
    5.100     0.000   0.652469  -0.004188   0.000000  -0.004188   0.000000  -0.000000  -1.638973  -0.000000  -0.000000    6.8327     0.1920
    5.500     0.000   0.689318  -0.004658   0.000000  -0.004658   0.000000  -0.000000  -1.728141  -0.000000  -0.000000    6.6475     0.1914
    5.600     0.000   0.698526  -0.004779   0.000000  -0.004779   0.000000  -0.000000  -1.750399  -0.000000  -0.000000    6.6036     0.1912
    6.000     0.000   0.735345  -0.005279   0.000000  -0.005279   0.000000  -0.000000  -1.839291  -0.000000  -0.000000    6.4361     0.1907
    6.100     0.000   0.744545  -0.005407   0.000000  -0.005407   0.000000  -0.000000  -1.861477  -0.000000  -0.000000    6.3962     0.1905
    6.500     0.000   0.781331  -0.005936   0.000000  -0.005936   0.000000  -0.000000  -1.950067  -0.000000  -0.000000    6.2439     0.1900
    6.600     0.000   0.790523  -0.006072   0.000000  -0.006072   0.000000  -0.000000  -1.972174  -0.000000  -0.000000    6.2075     0.1899
    7.000     0.000   0.827274  -0.006630   0.000000  -0.006630   0.000000  -0.000000  -2.060434  -0.000000  -0.000000    6.0680     0.1895
    7.100     0.000   0.836457  -0.006774   0.000000  -0.006774   0.000000  -0.000000  -2.082455  -0.000000  -0.000000    6.0346     0.1894
    7.500     0.000   0.873171  -0.007360   0.000000  -0.007360   0.000000  -0.000000  -2.170359  -0.000000  -0.000000    5.9064     0.1890
    7.600     0.000   0.882345  -0.007511   0.000000  -0.007511   0.000000  -0.000000  -2.192288  -0.000000  -0.000000    5.8756     0.1889
    8.000     0.000   0.919019  -0.008126   0.000000  -0.008126   0.000000  -0.000000  -2.279808  -0.000000  -0.000000    5.7572     0.1885
    8.100     0.000   0.928183  -0.008283   0.000000  -0.008283   0.000000  -0.000000  -2.301638  -0.000000  -0.000000    5.7287     0.1884
    8.500     0.000   0.964817  -0.008926   0.000000  -0.008926   0.000000  -0.000000  -2.388749  -0.000000  -0.000000    5.6189     0.1881
    8.600     0.000   0.973970  -0.009090   0.000000  -0.009090   0.000000  -0.000000  -2.410473  -0.000000  -0.000000    5.5924     0.1880
    9.000     0.000   1.010561  -0.009761   0.000000  -0.009761   0.000000  -0.000000  -2.497148  -0.000000  -0.000000    5.4902     0.1877
