xflr5 v6.47

Plane name :        Plane Name
Polar name :        T1-400.0 m/s-VLM2-0.5kg-x-0.2m-z-0.0m-Inviscid
Freestream speed : 400.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -1.500     0.000   0.042056  -0.000028   0.000000  -0.000028   0.000000   0.000000  -0.151797  -0.000000  -0.000000  400.0000     0.3601
   -1.000     0.000   0.088392  -0.000100   0.000000  -0.000100   0.000000  -0.000000  -0.264605  -0.000000  -0.000000  400.0000     0.2660
   -0.500     0.000   0.134722  -0.000213   0.000000  -0.000213   0.000000  -0.000000  -0.377518  -0.000000  -0.000000  400.0000     0.2366
    0.000     0.000   0.181044  -0.000366   0.000000  -0.000366   0.000000  -0.000000  -0.490501  -0.000000  -0.000000  400.0000     0.2223
    0.500     0.000   0.227355  -0.000559   0.000000  -0.000559   0.000000  -0.000000  -0.603521  -0.000000  -0.000000  400.0000     0.2138
    1.000     0.000   0.273652  -0.000792   0.000000  -0.000792   0.000000  -0.000000  -0.716543  -0.000000  -0.000000  400.0000     0.2082
    1.500     0.000   0.319934  -0.001065   0.000000  -0.001065   0.000000  -0.000000  -0.829531  -0.000000  -0.000000  400.0000     0.2042
    2.000     0.000   0.366197  -0.001377   0.000000  -0.001377   0.000000  -0.000000  -0.942453  -0.000000  -0.000000  400.0000     0.2012
    2.500     0.000   0.412439  -0.001730   0.000000  -0.001730   0.000000  -0.000000  -1.055273  -0.000000  -0.000000  400.0000     0.1988
    3.000     0.000   0.458658  -0.002121   0.000000  -0.002121   0.000000  -0.000000  -1.167957  -0.000000  -0.000000  400.0000     0.1970
    3.500     0.000   0.504852  -0.002552   0.000000  -0.002552   0.000000  -0.000000  -1.280471  -0.000000  -0.000000  400.0000     0.1955
    4.000     0.000   0.551017  -0.003021   0.000000  -0.003021   0.000000  -0.000000  -1.392781  -0.000000  -0.000000  400.0000     0.1942
    4.500     0.000   0.597151  -0.003529   0.000000  -0.003529   0.000000  -0.000000  -1.504852  -0.000000  -0.000000  400.0000     0.1931
    5.000     0.000   0.643253  -0.004074   0.000000  -0.004074   0.000000  -0.000000  -1.616650  -0.000000  -0.000000  400.0000     0.1922
    5.500     0.000   0.689318  -0.004658   0.000000  -0.004658   0.000000  -0.000000  -1.728141  -0.000000  -0.000000  400.0000     0.1914
    6.000     0.000   0.735345  -0.005279   0.000000  -0.005279   0.000000  -0.000000  -1.839291  -0.000000  -0.000000  400.0000     0.1907
    6.500     0.000   0.781331  -0.005936   0.000000  -0.005936   0.000000  -0.000000  -1.950067  -0.000000  -0.000000  400.0000     0.1900
    7.000     0.000   0.827274  -0.006630   0.000000  -0.006630   0.000000  -0.000000  -2.060434  -0.000000  -0.000000  400.0000     0.1895
    7.500     0.000   0.873171  -0.007360   0.000000  -0.007360   0.000000  -0.000000  -2.170359  -0.000000  -0.000000  400.0000     0.1890
    8.000     0.000   0.919019  -0.008126   0.000000  -0.008126   0.000000  -0.000000  -2.279808  -0.000000  -0.000000  400.0000     0.1885
    8.500     0.000   0.964817  -0.008926   0.000000  -0.008926   0.000000  -0.000000  -2.388749  -0.000000  -0.000000  400.0000     0.1881
    9.000     0.000   1.010561  -0.009761   0.000000  -0.009761   0.000000  -0.000000  -2.497148  -0.000000  -0.000000  400.0000     0.1877
    9.500     0.000   1.056249  -0.010629   0.000000  -0.010629   0.000000  -0.000000  -2.604971  -0.000000  -0.000000  400.0000     0.1873
   10.000     0.000   1.101878  -0.011531   0.000000  -0.011531   0.000000  -0.000000  -2.712187  -0.000000  -0.000000  400.0000     0.1870
   10.500     0.000   1.147446  -0.012465   0.000000  -0.012465   0.000000  -0.000000  -2.818762  -0.000000  -0.000000  400.0000     0.1867
   11.000     0.000   1.192950  -0.013430   0.000000  -0.013430   0.000000  -0.000000  -2.924663  -0.000000  -0.000000  400.0000     0.1864
   11.500     0.000   1.238387  -0.014427   0.000000  -0.014427   0.000000  -0.000000  -3.029860  -0.000000  -0.000000  400.0000     0.1861
   12.000     0.000   1.283755  -0.015454   0.000000  -0.015454   0.000000  -0.000000  -3.134319  -0.000000  -0.000000  400.0000     0.1859
   12.500     0.000   1.329052  -0.016511   0.000000  -0.016511   0.000000  -0.000000  -3.238009  -0.000000  -0.000000  400.0000     0.1856
   13.000     0.000   1.374273  -0.017596   0.000000  -0.017596   0.000000  -0.000000  -3.340899  -0.000000  -0.000000  400.0000     0.1854
   13.500     0.000   1.419418  -0.018710   0.000000  -0.018710   0.000000  -0.000000  -3.442956  -0.000000  -0.000000  400.0000     0.1852
   14.000     0.000   1.464483  -0.019850   0.000000  -0.019850   0.000000  -0.000000  -3.544150  -0.000000  -0.000000  400.0000     0.1850
   14.500     0.000   1.509466  -0.021018   0.000000  -0.021018   0.000000  -0.000000  -3.644450  -0.000000  -0.000000  400.0000     0.1848
   15.000     0.000   1.554363  -0.022210   0.000000  -0.022210   0.000000  -0.000000  -3.743825  -0.000000  -0.000000  400.0000     0.1846
   15.500     0.000   1.599172  -0.023427   0.000000  -0.023427   0.000000  -0.000000  -3.842246  -0.000000  -0.000000  400.0000     0.1844
   16.000     0.000   1.643891  -0.024668   0.000000  -0.024668   0.000000  -0.000000  -3.939682  -0.000000  -0.000000  400.0000     0.1842
   16.500     0.000   1.688516  -0.025932   0.000000  -0.025932   0.000000  -0.000000  -4.036103  -0.000000  -0.000000  400.0000     0.1841
   17.000     0.000   1.733046  -0.027218   0.000000  -0.027218   0.000000  -0.000000  -4.131480  -0.000000  -0.000000  400.0000     0.1839
   17.500     0.000   1.777476  -0.028525   0.000000  -0.028525   0.000000  -0.000000  -4.225785  -0.000000  -0.000000  400.0000     0.1837
   18.000     0.000   1.821804  -0.029851   0.000000  -0.029851   0.000000  -0.000000  -4.318987  -0.000000  -0.000000  400.0000     0.1836
   18.500     0.000   1.866028  -0.031197   0.000000  -0.031197   0.000000  -0.000000  -4.411060  -0.000000  -0.000000  400.0000     0.1834
   19.000     0.000   1.910145  -0.032560   0.000000  -0.032560   0.000000  -0.000000  -4.501975  -0.000000  -0.000000  400.0000     0.1833
   19.500     0.000   1.954151  -0.033941   0.000000  -0.033941   0.000000  -0.000000  -4.591704  -0.000000  -0.000000  400.0000     0.1831
   20.000     0.000   1.998044  -0.035337   0.000000  -0.035337   0.000000  -0.000000  -4.680219  -0.000000  -0.000000  400.0000     0.1830
   20.500     0.000   2.041822  -0.036748   0.000000  -0.036748   0.000000  -0.000000  -4.767495  -0.000000  -0.000000  400.0000     0.1828
   21.000     0.000   2.085480  -0.038173   0.000000  -0.038173   0.000000  -0.000000  -4.853504  -0.000000  -0.000000  400.0000     0.1827
